,score_1y,score_6m,score_3m,score_1m,score_2w,score_1w,alpha_1y,alpha_6m,alpha_3m,alpha_1m,alpha_2w,alpha_1w,final_moment_score,final_alpha_score,final_score,weighted_return,maxSR_portfolio_weights
ARIHANTCAP,1.0237765166380504,2.5775056310291626,2.4153742812130714,1.7303328339743294,1.5932630931979295,1.5307260730662513,1.031035775545426,2.91082914355314,3.0860171366712166,1.9598451852191698,0.563808462826761,0.5218091402125676,2.242288117004667,2.713127952611987,2.477708034808327,0.5810452806757125,0.0
BAJAJFINSV,1.0663185757660427,1.626425840939799,2.914694274940911,1.9908604430744605,2.1665963751775856,1.6408956948796716,0.7394041149089651,1.0125849720060176,1.7317842859593484,1.5688955891754288,2.26506740503173,2.554918085584343,2.3798904385807536,1.5390778141335064,1.9594841263571299,0.26138106564933,0.0
CHOICEIN,4.102172077028259,3.567198352508974,2.4977415593099153,2.127956201716442,1.8949829833364769,1.692715473296961,2.3833780327448224,2.319090573730171,1.5778478599345878,1.2707622517376918,0.8918097262243876,0.954221595506463,2.600697310671685,1.6339707202346356,2.11733401545316,0.8615416917620147,17.68
CHOLAHLDNG,2.104508628175464,3.20127608615233,3.4139999702438653,3.343629387090697,2.099375092350729,1.631003796955286,1.7537370490243884,2.845695969216002,2.619114409296926,3.680760907197983,2.396591641697456,1.2283152631177716,3.350344018479608,2.9829246706510584,3.166634344565333,0.6813244537280403,10.68
CREST,1.9541639138541818,1.3015340128443453,1.608571179904735,2.1541846836048446,1.1741942664340768,1.500461702027245,2.411666727205796,1.409745531865327,1.89549507870043,3.9336323105617867,3.423669966354465,3.7960189461431746,1.71084779760269,2.409786338891817,2.0603170682472536,1.0119687870432883,1.68
DHUNINV,2.7585726630252756,2.5059881194843316,2.778606077763099,2.338392640010694,1.5778095085471144,1.3827847644886773,3.8438943721568983,3.243612114365759,3.961363724012728,2.762675859230413,0.5826470551543763,0.48230836241429914,2.5920184547816243,3.4582070426486395,3.0251127487151317,1.374721253019115,3.43
EDELWEISS,1.8966104220238877,2.540944816156798,4.155739329959877,2.495712076058468,1.9827768474645908,2.175851304375899,2.259976845031791,3.144094411238963,5.804331117764074,3.681355632127641,2.512417780048046,1.0650911953522868,3.3347722510288382,4.635391130768123,3.9850816908984807,0.9655821672399837,0.0
FINOPB,0.7144818405389889,1.4474314501167527,2.1913246546594367,1.0337400788140008,1.940121143821898,1.5055680318413114,0.8424055884297071,1.6569524085864387,2.199048277756146,1.261252606435937,1.711620657814893,0.6309773335038522,1.695270640997269,1.8092904025261418,1.7522805217617055,0.4207590886511397,0.0
GEOJITFSL,3.1320479426994283,2.8255190829966046,2.744571111697403,0.8381390526758405,1.2508048770888385,1.6000474082064506,3.666386570878049,3.665705017905056,3.733344538704299,0.6263086283880793,0.6744554412696332,0.7146420502687807,2.1888310882507747,2.787705861449585,2.4882684748501798,1.3084326621674232,0.0
HEXATRADEX,1.9723821188248403,2.8276830428815094,3.0558929125988548,0.4448660395839817,0.5244199634580653,0.5762481326502132,2.0234897174181596,3.267766349693304,3.796513446868239,0.3172008906339101,0.4463877617136699,1.8376495348082316,2.226942876750924,2.646970260562953,2.4369565686569388,0.7944422630580019,10.95
