,score_1y,score_6m,score_3m,score_1m,score_2w,score_1w,alpha_1y,alpha_6m,alpha_3m,alpha_1m,alpha_2w,alpha_1w,final_moment_score,final_alpha_score,final_score,weighted_return,maxSR_portfolio_weights
360ONE,1.0287101806483288,1.5653657618434706,1.3553253710289876,2.8632652739158724,1.6943284292483365,1.0703727775723413,0.8760445040545164,1.2839987358411453,1.1159635786547077,2.463852782595043,1.1783276241437415,1.356198106173197,1.8497154200579495,1.5539373712740958,1.7018263956660227,0.5559208440578325,5.06
ANANDRATHI,6.981978943729317,5.4529201336699895,2.813088296981892,2.02218664814631,1.5661717661943657,1.0897179173069342,5.438178083872421,4.2434738952628726,1.8691664400304946,1.7030678269555104,0.9355184001603233,0.7974593797629245,3.103784169668837,2.2941983471544747,2.698991258411656,1.6566561491615976,30.17
BANKBARODA,1.2176296115670353,1.5762100043311658,2.166087557933757,1.63066683342704,1.3052402429231582,1.086626082278665,0.7692175943677754,0.9989844466117844,1.4476083694120447,1.373551096199878,1.4843213454276198,1.7988631862967717,1.8874858298612236,1.3356664028883427,1.611576116374783,0.5654649084389396,0.0
BLBLIMITED,1.1613836107543263,2.6125552500765483,4.327387378884733,4.490766041348387,3.493423720648833,1.0881417224987189,1.4564123088750485,3.1138364959275355,5.408249579744262,3.6377697143646515,0.802220388931167,0.35830863356613424,4.033434551862192,4.418223003367034,4.225828777614613,0.863565564522673,1.93
CANBK,1.9059908687243752,2.785792515618276,2.4681357326200795,2.2041375809726964,1.4268967332160591,1.087185864104776,1.2106298328634308,1.8696877287364138,1.6212065008527459,2.2081569013477518,2.120736837387617,2.084041277181332,2.4524676437255035,1.8469878665779813,2.1497277551517424,0.7765920527601654,0.0
DBSTOCKBRO,0.715229612215431,1.4091622136497075,1.8873473444016489,2.097348360483041,0.5027085814524729,1.0885850022453947,1.2289163789075204,1.9602442732509626,1.935135173687444,3.0430490184403567,0.5935035920629399,2.0666983308582623,1.8547106230756782,2.2725311470260214,2.0636208850508497,0.8520051805504285,3.19
DHANBANK,1.7157492867322062,1.6137465513053968,1.848263686540319,0.9036405603724827,0.8560597122674829,1.0793052320914336,2.2546743778822522,2.197711706941273,2.5503746437293735,1.4838515928134148,1.9541349180250243,1.896886488946026,1.5179733216429838,2.159885141096966,1.838929231369975,1.221160918733252,0.85
HBSL,0.9845795759639225,1.4530906130785755,1.717671866907359,1.9953749558936837,0.4227247155760605,1.0765351015986708,1.384573406570225,1.7282019713469485,1.2297558271539644,1.5672772818881018,0.37235236125362325,0.5204281544638878,1.7480665428374997,1.4307014924128023,1.589384017625151,0.8212933372014605,1.02
HDFCAMC,1.9932749712209974,2.702165911102806,2.49832289935675,2.066845304367547,1.573431282788706,1.0718511330237694,1.3145138710023954,1.4273655902015467,1.2801964549515734,1.4071950847706152,1.1198343855964388,0.7893878031750045,2.4096482232092002,1.3477298709472807,1.8786890470782405,0.7881906885132337,10.78
HUDCO,3.343925691544013,2.616123283012733,3.340204914601164,0.8201241984638424,1.368388698383881,1.0697865580231722,4.211939849722542,3.542847155236117,4.771116242918675,1.073102544151063,1.4561759132198868,1.2908539257460132,2.4393643734422814,3.41605831575188,2.9277113445970806,1.6338046955934862,3.79
IFCI,2.590886393213598,2.448540360037067,1.939845166481251,0.35542655665112943,0.5345207101242597,1.0732693810924303,3.838190609577397,3.8480783332153146,2.7086926239179983,0.29436263130664886,0.4160852402798616,0.6788689998125492,1.5662586222433779,2.212270767994057,1.8892646951187175,1.601752146769653,0.0
INDOSTAR,0.8354686225100136,0.7914632552253331,1.6670233631978508,3.036660935857133,4.878582909834728,1.104753996278957,0.9404568286776795,0.7742611758131398,1.4125019777278696,2.2539167124332202,2.647626306072179,0.5843949955874882,1.902802613401132,1.5372782377565288,1.7200404255788304,0.617624353477037,3.88
INFIBEAM,1.2497459915760418,2.555816392282799,2.602499047430239,0.9728860649844178,1.392443497164182,1.0827966355750265,1.3976633155916738,3.2741696330528995,3.2539148735274366,0.9904257328537619,1.3295111795114682,1.2768653254875648,2.104278621667005,2.578919083230427,2.341598852448716,0.9559362720821282,0.0
IOB,1.619887280494138,1.9901843911672679,1.9601510040706682,1.1683676273545207,0.4565472896395531,1.0754563021353634,1.8686495520801134,2.410488007883423,2.278572034916622,2.098476058193241,0.5413564282929532,0.6156368516457923,1.728622668475144,2.2509264364929678,1.989774552484056,1.0958517692696779,0.0
IRFC,4.288549016386712,2.278939319930659,2.7520100123919176,0.7121665705904106,0.40395161269329294,1.0658552677540911,5.637714037929011,2.776801208554841,3.7363540255927203,0.9668780630309353,0.6190681581082298,0.8242443128781849,2.045442841359214,2.713600673416609,2.3795217573879115,1.8693302553725344,5.35
KHANDSE,0.49120502783067044,0.7884432799290533,1.8459942098719822,1.6169451254398042,1.500549452659881,1.075051794208642,0.5477104529424937,0.8614745133911923,1.8993516340309904,2.095653658179933,1.2058343874711221,0.38457529516508215,1.5657692985537428,1.7506668171477135,1.6582180578507282,0.22801275377971023,0.0
KICL,2.144167342459918,2.0048116733194785,1.5658776245953767,1.9662349385056004,2.0709547287437102,1.088119193261477,1.8279750035836249,1.7971836137559283,1.506719954591411,3.1444795463295674,4.292161868221243,4.23409791032954,1.7737716285132643,2.0561405639457613,1.914956096229513,0.9745023132543684,0.0
LICHSGFIN,1.7411021110901914,2.193602843037448,2.6989532294348253,1.2513238339424388,1.7738430354891275,1.0763145269262828,0.989065439716223,1.177188444506956,1.466295991431235,0.9053802084627469,0.7876075864196451,0.6662628886789425,2.1635943335076337,1.2401997471558328,1.7018970403317333,0.6627172629372323,0.0
LICI,1.3309922181894842,1.939489429298641,2.488278022746583,1.31831135489368,0.9148932574315902,1.0803571854545535,0.9030529145844044,1.4569263585811854,1.9713166183567972,1.1344349465171972,1.255693195097842,1.1500351920441432,2.027530303701124,1.6173740648497947,1.8224521842754593,0.5804052264516639,0.0
MONARCH,2.263559063271268,2.3392951929475565,1.6328148662925646,1.4168035642239054,1.181696053678114,1.0923623302663275,2.219244794505639,2.0581491130786027,1.2934717977772563,1.4792030775497458,1.1676933383115695,1.1475217960526567,1.7093075410029652,1.5021266447692723,1.6057170928861186,1.1239400162224968,3.91
PAISALO,2.234704305125171,3.6833355156795182,3.4545127901573953,3.2910873935326257,1.903825345654202,1.0982513793531992,2.6944981452184065,4.345260488306005,4.076677694850718,5.5882620304823165,2.8008816389717563,3.1804803913435418,3.451249716274389,4.583869554231255,4.017559635252821,1.2737276094169476,4.53
PNB,2.4860487344593114,2.792873817350605,2.94390665604299,1.3580672223747206,0.7923631711243312,1.084609951165361,1.7062785883881961,2.019103221424161,2.0635832870426314,1.4869997193921178,1.3275969746491147,1.4683800396895017,2.437948258204032,1.8817122036237832,2.1598302309139075,0.975417332873011,0.0
POLICYBZR,1.3516192813504815,1.5716074756917426,1.9797019458517124,2.350741836469094,2.3369836761137197,1.0892569830667538,1.2374898485345893,1.3133473681024521,1.6860040690704585,1.3353453578350487,0.6851875773475382,0.2913937295509641,2.0093950190049332,1.5062751155062342,1.7578350672555838,0.7393654918652425,1.7
SBIN,1.0279326528744164,1.8076195591569881,2.411770073225137,3.702653743477448,1.574617479289465,1.0904293103817442,0.6346703820167229,0.9027841033468883,1.3334273844047853,2.533720507048188,1.0722300186007225,1.3702069835143118,2.6782050714872003,1.6073866649862267,2.1427958682367136,0.38542680218632597,0.0
SMCGLOBAL,1.1197546923548058,1.843349587851044,1.7418807551295026,1.4578570998082452,1.3963386754106186,1.0699295940538915,1.0605122216283915,1.8320776303249153,1.6198961184259701,1.678825104340229,1.5131450566024083,1.0252926261813704,1.6769674250774336,1.6800111165800367,1.6784892708287351,0.6157764740341091,0.49
SUNDARMFIN,1.834902812392647,2.4753510531691205,2.05733681536083,3.344297949954391,2.7792814256004217,1.07288625683845,1.1505251863877288,1.670455613894735,1.1915663623720079,1.9950620441375495,0.8181006848022937,0.6076690498987509,2.5270280033005563,1.5283929172062156,2.027710460253386,0.6278205812055725,14.41
TATAINVEST,3.24721619205122,4.057162545423207,3.4024997307994025,3.914075617810641,3.666254305371274,1.1040375129254851,3.7527642638162044,5.26193042371566,3.4906158685944,4.777237584862538,4.942819446903872,2.954695731235302,3.686905059827535,4.230865294499093,3.958885177163314,1.4457975462805503,5.77
TFCILTD,2.4292869901274896,2.1310046914422047,3.2877427486118944,1.444773818358101,2.8643209750904757,1.0821356935952693,3.2002850945523864,2.902693561153055,4.893181446011853,2.545501767666398,4.545574257265803,3.0164152541056763,2.503504458101818,3.7907799655364567,3.1471422118191374,1.4420705239759766,2.94
UCOBANK,1.2614665278442991,1.5866805087403055,1.8079678050527042,1.054196818020638,0.770459611405173,1.0850676095854692,1.3654643115080571,1.800024927664155,2.0184084673274354,1.8735934092263635,1.1437458780331966,1.56303435006616,1.5375790496806045,1.9312872419644576,1.734433145822531,0.925785372737642,0.0
VIJIFIN,0.5018707604270689,1.2262247985734236,3.0861093517954856,2.857361010506194,2.4085450642634267,1.1278471194111175,0.5383207186607308,1.3305878395703419,3.254519885006547,2.897661331931548,2.6097479668217796,2.8170151400611028,2.6455079387642857,2.7626759099968057,2.7040919243805455,0.33726649006646836,0.24
