,score_1y,score_6m,score_3m,score_1m,score_2w,score_1w,alpha_1y,alpha_6m,alpha_3m,alpha_1m,alpha_2w,alpha_1w,final_moment_score,final_alpha_score,final_score,weighted_return,maxSR_portfolio_weights
AGSTRA,1.2051588442895955,1.6472059623620887,2.336208327354079,1.3413075506852596,0.9266623207743979,0.5064999300040526,1.2910364985930889,1.7515772260182478,2.9011123565045525,1.527024634793504,0.8922778294852141,1.2420639228593118,1.899937621355035,2.258979013893977,2.079458317624506,0.8065358609312607,0.0
ANANDRATHI,5.675422799309412,4.342540847914547,2.7722610835686776,1.5543288602887533,1.8098845802984855,1.1899425298940094,4.356123317293997,3.2228537371228536,2.222158303966638,1.0793286227548802,1.1683648512951899,0.7351897900103578,2.7209373694538743,2.079448486234354,2.400192927844114,1.4628820276179442,34.18
BANKINDIA,1.1791391994044427,1.9375481538536665,2.459139142339388,1.6474215851805547,1.316777524349966,2.183267643596864,0.9579624820327495,1.4250896446302217,1.5647436605400866,1.7665746911311258,1.068175729602579,1.0691948111061857,2.1113056774945935,1.5973621665354254,1.8543339220150095,0.6795263713273011,0.0
BLBLIMITED,0.5231601910634901,1.3475603069864874,1.4051601009475245,1.4551531269172058,1.6444415193615458,1.1804843308305835,0.6072295104823243,1.5576085607041263,1.8636554115354458,2.9979429818733174,3.9408904982107757,1.9192117777220499,1.4086380499462214,2.1427323124705433,1.7756851812083823,0.3173472493626446,0.0
CHOICEIN,2.8765724320465256,2.7472651553308576,3.0513855615246297,1.621211346292533,1.0887551785378555,1.0225549808652437,1.6104822330994064,1.1492536881282829,1.2863035490792634,1.264250350342745,0.7200117313718368,0.6873722968676695,2.5615092157162462,1.2522776172681118,1.9068934164921791,0.7950740466048842,21.38
CREST,1.4752180062576796,1.1305889749327613,1.876433162732405,1.470055270480097,1.3453436577547824,1.4808305265309085,2.046067797829677,1.4485293145032911,2.8399024506291997,2.742074885668469,2.4697345783840223,0.6550173747966429,1.605350957496784,2.5322795539157985,2.068815255706291,1.0829377020463347,0.0
DHANBANK,2.1211681766619606,2.3192413824176525,1.947712318675848,1.6416873767396505,1.955928961118651,0.933232707069056,2.726282337060489,2.986988259573785,2.6211750343387648,4.669487054879843,2.4859861774099317,0.8291221010777589,1.9302106488433497,3.3088312855480924,2.619520967195721,1.2924836573447878,0.88
DHUNINV,1.3671750111752399,1.764223826866611,1.89172174574108,1.3499752272903216,1.5218485905477572,1.1148573969316942,1.6162764852128837,2.151495660624668,2.4533467042687858,1.7709924433391935,1.944629866511259,1.1754635585280426,1.7036982064309587,2.188270217261085,1.9459842118460218,0.9239320716085042,2.56
GICRE,1.4615528816910452,1.502393979340171,1.6918134906534426,1.1657315694399661,1.253640378266268,1.0110021887173233,1.628561009496238,1.5340434314362343,2.030353574893126,2.0011499870947334,2.975958580772156,1.5571450184007047,1.4961050120267454,1.9223304698622297,1.7092177409444875,0.9509482792973877,0.0
HUDCO,3.6655096859579834,3.256934250445054,4.064229820838989,1.5884971608956349,1.604573479663552,1.3545284217445912,4.492040114619065,4.161928946745034,5.46674692507823,3.91814184202551,4.499670509569344,2.1221868741309997,3.1600509087771957,4.741201804495775,3.9506263566364854,1.643509952341588,2.07
IFCI,3.920901906078737,4.660763222678169,3.7801612950357053,2.1213782505173704,2.5149155093026567,1.2799103931310851,5.505580926947523,6.698998239962266,5.231987285378562,6.185919571015842,6.572327737024731,4.381433724278924,3.4586467672086973,5.811569161986487,4.6351079645975926,1.8391103340523345,1.19
IIFLSEC,1.6918816860622128,3.0250213760556113,2.03195274948696,1.1244291755322449,0.966782937876843,0.5053582526594325,2.078799199802436,3.17474648674882,2.036752466509153,0.708433297383989,0.5643493902670288,0.43483111501750465,1.958309402614276,1.8658555198195372,1.9120824612169067,1.0327989552369083,2.8
