,score_1y,score_6m,score_3m,score_1m,score_2w,score_1w,alpha_1y,alpha_6m,alpha_3m,alpha_1m,alpha_2w,alpha_1w,final_moment_score,final_alpha_score,final_score,weighted_return,maxSR_portfolio_weights
360ONE,2.238514090034905,3.9858499578047155,3.112744653498679,1.2868898979461711,1.3170648631458581,1.306807472153285,1.8261316220527202,3.9674999773220594,2.837248650893543,2.0049932519832714,0.9574139441550107,0.43407667092141106,2.739609287694134,2.813622296506165,2.7766157921001495,0.827345065151272,16.3
ABSLAMC,1.632443571040627,2.805893299361549,2.1768373194745054,1.176058955671363,1.0807766119494473,0.9758765450134405,1.099103201317494,2.4421712494058236,1.9430161361042515,1.4386215654190146,0.7385816021256882,1.0103202122121784,2.0024150063109714,1.8915287875589948,1.9469718969349832,0.5597837326921598,0.0
CAMS,1.767285054696301,2.8028996629630187,2.4513615114251586,1.2595756207629039,1.0875490881131509,1.2172042348890484,1.4152039321972891,2.868137984564134,2.3614397554367073,1.906975113902773,0.6905745340024063,0.204865416846201,2.164133374534054,2.3264400088020123,2.245286691668033,0.6923939347831145,0.0
CHOICEIN,3.538902638529295,3.2281620298003912,1.7726283461373944,1.089728609874783,1.1444646694677865,1.1945957398589515,1.8737393106483302,2.4335581411643608,1.2965568739341236,0.6675810510000566,0.5703097235438089,0.550093787493397,1.8588651619912104,1.3352643804999509,1.5970647712455808,0.8378008241018055,22.19
CHOLAHLDNG,1.362948790100657,2.053991718295543,2.6978720449212004,1.2630865079772637,1.1669314240889739,1.1789985467186008,1.100573476456739,2.054859132521269,2.6175183983344144,1.3468390414798659,1.4396313988881135,2.2144357778081174,2.138660318512888,2.1237827381154206,2.1312215283141542,0.5299995413067965,6.0
FEDERALBNK,1.4396561681285365,2.8853161805480214,2.4151597461310175,1.3144374080208021,1.1822301903327148,1.2329217670568222,0.8709256182800921,2.1552331868665653,1.7028083608746298,1.1718968862658448,0.44071121496991256,0.8469414662978452,2.1789743315813537,1.6340198836903814,1.9064971076358677,0.43112180947159606,0.0
GICRE,1.362510323423771,0.9238583480387433,1.740211249478244,1.127542924146942,1.084006689491106,1.0954884935551692,1.4694577116739018,1.0225903616850378,1.774640995825619,2.4422265724816388,3.3325861072779124,2.3041776908887233,1.393140171590953,1.824506541994309,1.608823356792631,0.8281242830872102,0.0
HBSL,3.612917937164362,4.674267501469997,5.309972878121,1.5685509074393322,1.8631783890343425,2.1991040553810697,,5.654644192900306,6.6745953985097835,5.145113455604617,3.535404983604566,0.7935082077953389,4.060405211586299,6.011760574516338,5.036082893051319,1.4738893073203483,11.79
HDFCLIFE,0.620664729761182,2.1970691148840356,3.5141962517299334,1.5096534924111544,1.503894846760508,1.1702998187688447,0.6346866720766452,1.5877285095245828,2.079946947992049,2.3307308583205573,1.616960449355756,2.4292923145378915,2.6494079965651203,2.0567384333971086,2.3530732149811144,0.12844659644934736,0.0
HEXATRADEX,1.1203312816683666,2.517864315236351,2.854307484076707,1.435366525528038,1.761917424903183,1.6783857801687958,1.004755607308362,2.5765665776679985,3.228690563021964,3.608502708634628,3.0445379360835134,1.1412827545889288,2.361336562744035,3.21220940963497,2.7867729861895025,0.5058368030958663,0.12
