,score_1y,score_6m,score_3m,score_1m,score_2w,score_1w,alpha_1y,alpha_6m,alpha_3m,alpha_1m,alpha_2w,alpha_1w,final_moment_score,final_alpha_score,final_score,weighted_return,maxSR_portfolio_weights
ANANDRATHI,5.9819328762310064,5.497844046983471,4.484216234535247,2.5964924559764766,2.905782214102765,2.5325613681156924,3.9278635006458695,4.342319633188496,2.543641930804825,0.985646579578853,1.5954933766360027,0.6044686565556809,4.120624663457261,2.4359788659137678,3.2783017646855144,1.086758501718329,45.56
ANGELONE,1.5433323968837427,3.5598445564935157,4.380649225725701,5.036366107986286,4.375142885344259,2.485747004827681,1.5172941701741858,3.875627238781397,3.92512653471868,3.525802453308395,2.5230561135147527,1.9169193947759906,4.413203356557439,3.795429451108138,4.104316403832788,0.5758688245242104,0.0
ARIHANTCAP,0.5328959118367153,1.623774802077231,1.7763514796816928,0.9029026637077844,1.9801575954865192,0.7569190544675729,0.5525206228215308,2.637800722198058,2.648987987380491,0.7225735609774416,0.6256601419822365,0.9502262875700689,1.483801499368628,2.06882620642309,1.7763138528958589,0.10883867072969132,0.0
CENTRALBK,2.1372634101686536,1.4800026001249116,2.1728506874834475,0.4694415960122994,0.7349462860513664,0.49341183280725487,2.55396063957666,1.7440232386542793,2.9264252377221256,0.5858825568436018,0.686302569532357,0.6927731307168148,1.5232583425703958,1.9877820336449994,1.7555201881076976,0.883983943667187,1.0
DBSTOCKBRO,0.7433957720730546,0.7707906982715714,1.506021095657052,2.189560302085346,1.6238205425805547,0.6255029520549491,1.081918982135979,1.605587533438877,2.428630619182447,1.9204004727083799,2.054480768367453,0.8103167122028808,1.5640367781084439,2.111552958091513,1.8377948680999783,0.6016146407598425,0.0
DHUNINV,0.9308294229571022,0.9754959155122914,1.4811433941409393,1.8287928093322798,1.8395517942864688,0.8748428854108045,0.9913637202942127,1.1770556759273318,1.770609343937392,3.5752977713975147,4.395432526429408,3.2118603970793225,1.4843087229726117,2.193305138573417,1.8388069307730142,0.41517815693996635,0.0
GEOJITFSL,1.113343399924334,1.754724100031133,2.4120595256895596,2.784138568270295,2.5295162994112346,2.5376287744739487,0.8942290462295753,1.554337979377065,2.417297890885507,3.4280961469950433,3.7021442551970005,2.248932419706682,2.392216153332095,2.5479453854166794,2.470080769374387,0.3342042549142892,0.0
GFLLIMITED,0.9887526688154317,1.7104081716262818,2.9123398983584616,1.6980274729152032,1.4709645805753007,0.94831747944734,1.1640177347619522,2.4589409531085984,3.747834738302681,1.2825372303605036,0.6524849287327792,0.30388173797222784,2.307659825379048,2.7504667288812112,2.5290632771301294,0.5102986739930747,0.61
IFCI,1.9209262164905463,1.6395755116341681,2.3577684170637934,0.7319806866829626,0.6419188217608471,0.5066785713222356,2.612545038433787,2.5818456995937993,3.2924266428007916,1.009086926262125,0.6097150820995162,0.9677920049527664,1.726393516863619,2.465308539197793,2.095851028030706,0.9457086002734387,0.0
IIFLSEC,1.252261996414552,2.038252738627021,2.921219449748779,2.221993556034818,1.260628620968087,0.8218988421385518,1.2919613598758286,2.6545350617856363,2.6972928205101363,0.7769170733612465,0.3643784260927883,0.30962880013474997,2.5348583394102393,2.1126285446205695,2.323743442015404,0.5249226387331422,0.0
INFIBEAM,0.5519548499080266,0.8971968343132074,1.4356669250308745,1.6641693231135612,0.850532326528417,1.1943749082361133,0.5727240989893968,1.1953221646146832,2.5186983930207396,2.9740202540725447,1.2955204719253999,1.095357578358225,1.3965236263121472,2.3906197056550695,1.8935716659836084,0.11693365596278574,0.0
IOB,1.8158184689905363,1.375243383580775,2.0956714944926196,0.4733042307067909,0.8427337741861977,0.7365320747423179,2.471919734172187,1.8697833047987724,3.1216359280875974,0.6585588185621417,1.6309674090531607,2.4860386946903903,1.4648756931745022,2.1323422705721957,1.798608981873349,0.9035441509205616,0.0
IRFC,3.879669933676171,2.591212483510729,3.1567508720091597,0.892808501208428,0.7662329607957017,1.985710387703819,4.846444084697627,3.7484773495953045,5.434012488725299,1.7746828481562178,1.54223826857422,1.3471948111840069,2.364460483069254,3.999106568728576,3.181783525898915,1.3214162358670285,7.94
J&KBANK,2.8669865015811826,2.334324335823619,2.797975714813942,1.1011644372897402,0.7969027103043723,1.545498249132971,3.5908351996302565,2.8278809121595394,3.2529362562076214,1.9821399154873618,1.6534550929086886,1.821144771884439,2.196202055758617,2.786686285181927,2.491444170470272,1.1080376582250249,0.23
JPOLYINVST,0.6830155033860035,0.6950542621387559,1.3594052300121557,2.336698872360529,1.6927974285270828,0.6103096022675931,0.7604100870779044,0.971780109121823,1.8975620735718481,4.967580219936746,1.2165532099393628,1.4817973474131172,1.5197231291419875,2.6334111245913125,2.07656712686665,0.35624234330195,1.25
KARURVYSYA,1.4331474769554617,2.485264392471099,2.103429205007892,2.4954471750943745,1.832684075613093,1.0453703596767183,1.214192971755745,1.8270682033829124,1.1709366943545303,1.2562893825782726,0.5685042645290375,0.5129123279072898,2.297401633526478,1.3277688026273293,1.8125852180769038,0.452836444374484,1.42
MCX,1.6855398073728474,2.5826893572286433,3.4014857273850803,3.7049712264496866,2.9031893166630627,3.7695273621766745,1.3817063455309078,2.408452003209699,2.545319698021699,2.407982105149201,1.5138198491049866,0.5280233720746137,3.3287721030731747,2.4767448811975497,2.902758492135362,0.5125912566665193,8.56
MONARCH,0.6310926837923845,3.1753388506538003,1.9009666000971543,2.7780321116817,2.285830183873146,1.2359882826482842,0.716699536411979,3.4214662382382137,1.89083189837968,4.2602774767951885,3.0941560680323588,3.470947056468211,2.4189607036838474,2.907792439876039,2.663376571779943,0.3158874536587266,0.0
MOTILALOFS,1.4304801271739653,2.365215873665024,1.9264728323426175,2.1459206791510734,1.7858292908078006,1.7370850986192048,1.1809006699288633,2.2954628279578233,1.6990420409232256,3.16031472359724,3.0431195780459546,2.8865372799248705,2.0800557946496356,2.2567080031323496,2.168381898890993,0.44094562206560267,0.0
NAM-INDIA,1.4872039071702001,2.844970911480704,2.2233944969749158,2.5144985145543366,2.106014865708953,1.3983890151240457,1.0812423832413824,2.108591523446268,1.2984438154381346,2.036098799426422,1.6741085135402398,1.3712090156654613,2.4350409851498998,1.6817698522362474,2.0584054186930736,0.3941069938661732,2.72
ONELIFECAP,0.6190393802324439,0.7634140003210378,1.5718820109282357,1.534862789464819,1.4212461709369388,1.9640067606215603,0.6851238774013885,1.1061825645655619,2.3923290272655207,2.6833455065609106,1.320282058286896,0.8144454733008006,1.3990826423677711,2.222404678514146,1.8107436604409584,0.3300513720832318,0.0
PAYTM,0.9731436968703241,1.025063987296633,1.5222882723976596,1.664266371903044,1.1844100047974213,1.4995037690159303,1.091272536237159,1.078304526730382,1.744384497006196,2.910736901203463,2.5822548032024217,1.806992654913005,1.4654368452290696,1.9610742242102135,1.7132555347196416,0.459695071156053,1.42
