,score_1y,score_6m,score_3m,score_1m,score_2w,score_1w,alpha_1y,alpha_6m,alpha_3m,alpha_1m,alpha_2w,alpha_1w,final_moment_score,final_alpha_score,final_score,weighted_return,maxSR_portfolio_weights
AGSTRA,0.7583110228640068,1.5179442059666548,2.040677032723881,2.984402342064019,1.1124016320155405,1.3236701507451945,0.7767686719558848,1.678134255862956,2.5418257379057545,5.490662597269838,1.5880324480343164,0.2702767232894727,2.2192480601744773,3.25373849930642,2.736493279740449,0.3337062274957888,0.0
ANANDRATHI,7.394068146671715,6.712129078180764,5.311469363426387,2.8808107420558686,1.4598314831606274,1.1964984381185535,6.038731804825371,5.761932168361016,4.068684328632031,2.489534786027459,0.479340037269918,0.35427872309485836,4.862403719966107,3.9335890337964567,4.397996376881282,1.359231179570325,39.68
ANGELONE,1.8850347391524398,3.0965106517247,3.0939581287366664,1.0032674689025542,1.2864179077169453,1.045245884879807,2.0841974760700817,3.3640789442249406,3.022720197343217,1.0694481267263318,0.7465766906847009,1.4192873708626816,2.4672614353840396,2.505010325534496,2.486135880459268,0.7338251341597154,0.0
CSLFINANCE,1.2185725719350233,1.5702327997765972,1.8554350023471777,2.285202141103037,1.1689862591688722,1.0790941381111188,1.5348256734015837,2.098775739043398,1.8109751487492147,2.524818102580978,0.6442848513477032,0.49760526247616704,1.9273247034598195,2.08268815295758,2.0050064282087,0.621210738370168,0.53
DHUNINV,1.4207837504593805,1.8651509128336996,2.8492043423331364,2.659095129372377,1.3804110564649912,1.0317555893754655,1.7862758669040035,2.5393272740613355,4.555211146281126,5.007718296421724,5.2002517846076595,2.9663630434309356,2.5953608925450213,4.287786516879347,3.441573704712184,0.6874276680400653,2.52
EDELWEISS,1.2323152688293888,2.126522834893473,1.7199379266080483,1.945743457342845,1.3435599933917142,1.1789758642010655,1.5872410519012328,2.5879279834700792,2.1672765740472704,2.678197011250199,2.971766854400188,3.866666610219377,1.8689965674855722,2.404682987092711,2.1368397772891417,0.645388235652317,1.09
GICRE,1.8331871332007648,1.8612093287319156,1.9394173150282872,2.224662360424614,1.2828846492220105,0.9293334523398696,2.5741237837058097,1.8341327764211872,2.147098554871769,2.9138434533809585,0.40493390126436674,0.27478924941814453,2.009349231387911,2.3145288687344094,2.16193905006116,0.9020748980943469,0.0
HBSL,0.7444429505435813,1.1926063186667173,1.3895938512991564,1.8796923932042173,0.9446662686130322,0.6049694282938972,0.8752534052255934,1.7564061375829394,1.8478061125210812,3.567934328525576,1.1666222654929574,0.6460561536086803,1.4972259073441867,2.3455645823348013,1.921395244839494,0.4380507721170253,0.0
IFCI,1.510553711316803,2.21113590094821,1.9550888560366788,1.0464860827613207,1.1607470110072104,1.3471369969458835,2.118821088659458,3.3241367781384508,2.9420401505767577,0.7952722116769885,1.1786045809686236,1.5310610053764933,1.7337174330363776,2.374429094419166,2.054073263727772,0.8014747653473862,0.0
IIFLSEC,1.4028937968961621,1.8513832138572561,2.015183238858887,1.0671366313300892,1.0128268260346949,0.8837608234270905,1.6293929614742444,2.4701083613917603,2.184178679462725,0.8362219014294638,0.7120092742646169,0.7778384139337796,1.6980092515999214,1.8369775824385537,1.7674934170192376,0.6269369368151607,0.0
IRFC,2.0710536209418957,2.8597821230362577,1.5537733331608827,0.9691825340849648,0.8637936753138681,0.7651355421901118,2.754853291644441,3.725507816754882,2.1244568371663193,0.7959719578303787,1.0538802674966024,1.2809596872821598,1.6395978514131824,2.0461215692832497,1.842859710348216,0.922997599630626,0.0
KARURVYSYA,1.5217863911016696,1.707984654786023,2.6240480243995092,0.8686653283366172,1.1718373342158959,1.4699855090481746,1.3235343645467939,1.1700410254879745,1.4961634851590095,0.6845106041123924,1.5586946834633637,1.434736468987925,1.9142205416579445,1.1874431289108174,1.5508318352843808,0.4981895590026711,2.76
KICL,1.7358693613009957,2.3891220407965172,2.060300256614278,2.498624778244687,1.2597112822811671,0.5001961153727444,1.6727097304846348,1.8954063000818455,1.6457867049145074,2.0810134529835427,0.44946604111122895,1.081510075556087,2.2575619699398484,1.8262786483686857,2.041920309154267,0.6065562194542548,0.0
MCX,2.381772631063901,3.1970184949148805,3.842757642287872,2.163413899369389,1.2844535693724288,1.2748631597100963,2.282058578187715,3.107847911914837,3.5645241503256497,2.443633652009555,1.201010312408115,0.36968069971133927,3.2098066899377287,3.136921753148659,3.173364221543194,0.7561413945762515,10.47
MONARCH,0.6555896582584616,3.7089892406533593,2.2089071373977722,2.55774274233967,1.1079702585352171,1.242921686034838,0.7181261868978698,3.6404277965542717,2.206784496703099,1.939080373994961,1.2081967736776997,2.013795234212247,2.613574239531459,2.4132019198608923,2.513388079696176,0.38554649692390297,0.0
MOTILALOFS,1.9247506657585232,2.351535093165127,1.7388500171785934,1.626709151803285,0.9849422717920647,1.4804341170062654,1.8386378422519154,2.3173473848358666,1.7888311501118133,1.9235550321506716,1.2379687322794926,0.5154718620650531,1.8277447727633076,1.9349515616682815,1.8813481672157946,0.6500905992649052,4.06
NAM-INDIA,1.8785752238731968,2.703976511095197,2.797104659050881,1.7499958884266225,1.1249221190443315,1.8670001535169933,1.4186944716775376,1.937076891838691,1.9078613266511084,1.286920282260009,1.6141260111223286,1.1915396688060635,2.4643463982724665,1.727422126371295,2.0958842623218805,0.5110385434924606,3.47
NIACL,2.0189048960399365,2.250647193588354,2.950174921664471,3.1340476674634816,1.5417065816568574,1.1892882641010667,2.6615484062109744,2.6210285780348013,4.0142936266033455,5.89440606960917,2.4789259868867575,0.2561181190990173,2.8654311997889508,4.299674349791384,3.5825527747901673,0.9017536810715252,0.0
ONELIFECAP,0.7860105873280451,0.9334169589842446,2.042783436472425,1.0555446644449604,1.2862386366747947,0.7483652100744376,1.1575419210099704,1.510171456402099,3.258383535201285,1.230292662092023,0.26659765635400723,0.4350260439021176,1.5247385093665495,2.300313857508669,1.9125261834376093,0.6039379342696799,0.0
PFC,5.203285730740913,4.007571898042407,3.802803020033033,4.310533238826563,1.4184955991211416,1.909480589737737,5.173451187587151,3.711496237209456,4.045196037758631,3.618331678741518,3.4916390165154993,2.3679324838692697,3.996075861272967,3.8503967699436616,3.9232363156083143,1.2724573116763973,12.03
PNBGILTS,1.0439688247698027,0.9325421259875958,1.6624272751905709,1.2132930336502041,0.7693587628799562,0.7852942529692386,1.1416237034708616,1.2710414056613424,2.640234470248889,1.4560282336478874,1.223639673575953,1.9801051965151282,1.3817099728878657,2.011133986351079,1.6964219796194724,0.4797287930856804,0.12
POLICYBZR,2.00495449667054,1.4230669114751133,1.2076422828465672,3.5545649304365745,1.3061934719232862,1.3919344624817098,2.0192363590159865,1.1569502121019617,0.8442711489638386,2.3100662357571675,0.9357395128760908,0.6472007611356265,1.9548040028492786,1.3465454876294618,1.6506747452393702,0.7016328159502392,2.94
RECLTD,5.634601863501812,4.564316307763633,3.089691782943808,3.2567949179958426,1.3349643890266631,1.6549927426888118,5.348321885211782,4.346315998447402,3.0045188865828014,2.2201717669469145,2.365238446760547,1.8397028281025376,3.4347476284233838,3.0375741730649555,3.23616090074417,1.2890866310132576,10.33
STARTECK,0.934655100697321,1.2872600767430826,1.3648104162435395,1.1584673379452477,0.8163147155987344,0.8156864977464526,,2.147642952927095,1.9696859807405769,2.971686357156412,0.9084285161543385,1.3984135915775415,1.2873974248539606,2.305877488102631,1.7966374564782956,0.6572336227522245,2.98
SUMMITSEC,2.4546521099617573,2.291977338738685,2.499328330853193,2.3540310710243832,1.35395848413101,0.8145375340012622,2.709964625670814,2.604744184890362,2.664018108012211,2.2990197659234672,0.391621016561333,0.3821524715962601,2.4142689544816482,2.542663820761218,2.4784663876214332,0.8694727029739746,2.44
SUVIDHAA,0.5915766768327486,0.9945163298723999,1.7921400779056094,2.499893574024492,0.9724962102588258,0.980764699442061,0.6014755727593615,1.29014304117344,1.7049143239768165,2.468859536361557,0.39735869784465944,0.5208893229080956,1.8449413771346324,1.8511436311315634,1.848042504133098,0.2232442032633392,0.0
TATAINVEST,1.6374856844990089,1.7849486109830583,2.5393748270591323,1.5390985104556087,1.1226835466096152,0.9254634120703583,1.7993018312341553,2.1654513299449896,3.3651124905163754,2.2686689122542254,0.31097115536372266,0.6776960161643315,2.0884066888628605,2.796247184923453,2.442326936893157,0.657586147179053,0.0
