,score_1y,score_6m,score_3m,score_1m,score_2w,score_1w,alpha_1y,alpha_6m,alpha_3m,alpha_1m,alpha_2w,alpha_1w,final_moment_score,final_alpha_score,final_score,weighted_return,maxSR_portfolio_weights
ABSLAMC,2.2768901235634464,2.227036271760749,2.271544600182838,1.6394594634167627,0.9044871036301004,0.9283139861581595,1.5942438784670134,1.9485473273264484,1.8045370668649094,1.5145636322720957,1.2472069843039952,1.3302239032568177,2.073017393468598,1.7463470885793733,1.9096822410239855,0.7157052060408083,0.66
AGSTRA,0.8681597663237142,1.0294715275542905,1.825006388105307,1.977774787758762,1.3195759642322742,0.9263988130472677,1.009169969039935,1.1556033213289503,2.353963762533889,3.169065025878106,3.9665159021021927,0.6042367111291423,1.7117299358911402,2.3588220532961666,2.035275994593653,0.604557086079879,0.0
ARIHANTCAP,0.9674704397099722,1.4045036282942411,1.6994071509994253,1.6439116869511068,1.217473625094068,0.9285221871335843,0.9363978292636942,1.5431348984918722,2.038744840958628,2.5554825060292643,2.663385787172704,4.467729725011127,1.6237778072438929,2.0946441519864676,1.8592109796151801,0.6046425076819235,0.0
CHOICEIN,4.160095831767585,3.907580153122557,2.8490325973653094,2.946050412323615,2.531803477071593,0.9296222481736723,2.3430264403335954,2.7736620712206115,1.570352304824545,1.8224432459704312,1.6799959258262083,2.4500997617713374,3.089847453004251,1.886641540447524,2.4882444967258874,0.9140273854212874,18.64
CHOLAHLDNG,1.547270725282365,2.5234794834119567,1.994542812566137,1.1708602117033502,0.7199862880241971,0.9254042640151634,1.2856350965927883,2.3105732528300758,2.0199329487821247,1.1141845787397664,0.7412755132589001,1.5388212470616547,1.8532253664764649,1.8063364985790076,1.8297809325277363,0.573490510369869,6.14
EDELWEISS,1.45078929879198,1.6579433019312615,1.8169762165371641,3.84217342775824,1.7542648847919984,0.9275771097290937,1.7054299107918676,2.0393805547802906,2.6202534358579195,6.911161776918147,1.3648441097418325,0.33308097386743457,2.3927287969823063,3.7913513619604617,3.092040079471384,0.8619788452883479,0.0
FINOPB,0.579037390649594,1.6888014403827212,2.0731486763510434,2.8224814965480354,1.9072710945546427,0.9271899698750934,0.6362363248716124,1.892560522894045,3.2367356629622512,2.0262924454887132,1.1316733590410246,2.311141524202445,2.2210790752164766,2.6047676697065483,2.4129233724615125,0.28138831865464814,0.0
GEOJITFSL,1.9023014756577954,2.5074161772392722,1.8804229963910868,2.248347219531035,3.0231918717593365,0.9304156587559246,2.0317376839873416,3.0556340425679447,2.2641856429023988,2.4690775825623477,3.5880969204622972,0.7480793637910496,2.1161988995027086,2.4839429047334924,2.3000709021181005,0.979112263691503,0.0
HBSL,2.302236651768075,2.217894232956639,2.105814705905366,0.36068316516861293,0.8547365488285263,0.9273919035790944,,2.5513995836620884,2.7426797643206324,0.3762601442899016,1.9118242736389206,0.49903158157526945,1.6046911490945948,1.9944978421797044,1.7995944956371495,1.0973063526488815,6.26
HDFCLIFE,0.6801638431197334,2.2614110944075327,3.1441591066278005,1.390084836540505,1.9408646793561557,0.9287068811178708,0.6725867753175885,1.5004788355747267,1.818680154931546,0.7259674905895591,0.8878706144761825,0.6396812035045338,2.4413872231575584,1.427226091757586,1.9343066574575722,0.16906948822484505,0.0
