,score_1y,score_6m,score_3m,score_1m,score_2w,score_1w,alpha_1y,alpha_6m,alpha_3m,alpha_1m,alpha_2w,alpha_1w,final_moment_score,final_alpha_score,final_score,weighted_return,maxSR_portfolio_weights
360ONE,1.5451426713236707,1.7811023444451526,2.3474010438277997,1.5241193324537992,0.7950589494768399,0.6632737056254251,1.2440184706377457,1.6749638143623884,1.943392151447397,0.8301367250572471,0.4976293851581841,1.7066620151673209,1.9871567905390701,1.5557298561133504,1.7714433233262104,0.6866835706909942,9.12
ABCAPITAL,0.6927246257308551,1.2665420640760314,2.8795478962287953,2.391145163157709,1.6404217557703809,1.357982289218862,0.6072744494804899,0.9616289845657345,2.8190683966362986,2.6691672881248714,2.797849617420747,3.2135317706189257,2.4104259098769165,2.4026101816687575,2.4065180457728372,0.37687480239431964,0.0
ANANDRATHI,6.29670544589306,3.7990348021393765,2.7867198523287193,1.1704044238749307,0.4708832829964332,1.522403099840597,5.268824866515903,3.573552108399122,2.3928121608838557,0.5284682171405789,0.3895019974790819,0.6487895099561988,2.504288213754714,2.069656967263926,2.28697259050932,1.6022878295333436,24.9
BANKBARODA,0.9748851074823064,2.058132616584575,2.239854199979675,1.1276388787182376,2.4611127118693865,2.6632517259197126,0.6878417430450408,1.2406076705250946,1.7955634789244364,1.1545338219899701,1.5033538549817576,1.8519123282587797,1.8698452869222237,1.4922634201642282,1.6810543535432259,0.4621488016582901,0.0
CANBK,1.943994594605278,2.937054974060222,3.127163399567884,1.2970101829198495,1.6877362170270294,1.8186898922913097,1.2130698328755694,1.8201045322584968,2.491396296278474,1.2262050998703369,1.5398932102423988,1.4943038294418827,2.5400957494719414,1.9775805845520376,2.2588381670119895,0.7416395094083342,0.0
CHOICEIN,2.4404867660493004,3.249919152297802,2.593115697532151,2.610416135671089,1.842878104124189,0.8146254974766572,1.3002219808480637,1.8618681429964652,1.8588585874250372,1.7535221713001508,0.9666428307178166,0.6362119431451093,2.7296665199269627,1.8278595737018568,2.2787630468144098,0.6893144531931664,9.41
DBSTOCKBRO,1.1762335344556631,1.641115105542393,2.518122554242109,2.6165587981506393,2.1449415384818966,1.8438683991406508,2.142871697778506,2.303454047794432,3.5603191531677356,5.2863025058238104,4.522599549478111,5.622130501863171,2.372251937674725,3.826741137889897,3.099496537782311,1.1657100073450057,3.37
DHANI,0.5675051727138539,0.9255452213881062,2.0399303597079514,1.9974593424467673,1.2458439713943705,0.8687692040053645,0.64130598138981,1.1469920188873903,2.6965494287589307,1.0116126699708596,0.5920730289730641,1.4221032635765476,1.8043120268656272,1.8811569191482014,1.8427344730069142,0.41287700263761773,0.0
DOLATALGO,1.4388044737331696,2.2505321941820404,2.8063341103841983,3.963595111036798,2.671772666408179,2.088032190786425,1.9856437085759049,3.2557724471315828,4.4537375865851,4.790438380775882,2.350089635838193,0.6730878091601138,3.042352027339547,4.315154796951631,3.6787534121455887,1.0602763757308746,0.0
GEOJITFSL,1.6462522797732582,1.7117011063172178,1.3316110855941168,2.8050731220257665,1.9575715038235444,0.9809088809172998,1.577721681752795,1.8256220530260165,1.5216170981243622,4.229051832608122,3.3714918300776358,1.926017945111904,1.849667700668232,2.394648509449821,2.1221581050590266,0.8780110245953973,0.0
