,score_1y,score_6m,score_3m,score_1m,score_2w,score_1w,alpha_1y,alpha_6m,alpha_3m,alpha_1m,alpha_2w,alpha_1w,final_moment_score,final_alpha_score,final_score,weighted_return,maxSR_portfolio_weights
360ONE,1.992314845696789,1.9941786149447356,2.797754390630846,2.7438724457520296,2.506845831619713,0.9442964553116592,1.5564318803273387,1.673446925080679,2.3551722763142817,2.400656589056166,2.01783376610126,1.6750285853925027,2.620874652029979,2.2324724998901266,2.426673575960053,0.7868793764444758,15.34
ABSLAMC,1.5446206974490655,1.8319636482907153,2.44203382059818,1.19111920392557,0.39109872067107343,0.9081030724619291,1.017289372009519,1.4393082669424129,2.225958513155743,1.35210370373522,0.6696366212483509,0.8613937524033158,1.9447454011349041,1.80647202108692,1.875608711110912,0.5731695573980093,0.0
BFINVEST,1.1114688752389268,1.199224383573563,1.762790694871554,2.029828301457231,1.8384107219091863,0.9275998336651039,1.2013424103721124,1.19129451756046,1.7553529136074906,2.2398944319736804,0.731788423158613,0.4086700257872965,1.7301887145876589,1.7879036899079415,1.7590462022478002,0.7582861360565891,0.0
CHOICEIN,3.236345368770887,4.005828295615992,3.3602929935612664,1.0907544420133592,4.876665912972638,0.9425587749366342,1.7166887987115413,2.6142316266536145,2.363401619663405,1.0666227824527836,1.2097163016655479,1.3111123250125967,2.8085384885078395,2.0245339698982603,2.41653622920305,0.8411579704304369,13.67
CHOLAHLDNG,1.5303787542716862,2.9035714945359197,2.6830958183184777,3.8580462250230103,2.0985068625702694,0.9351854862911183,1.1603640823278951,2.3341939024444915,2.4262463705995696,4.029080341504831,1.9290579727749253,0.2947049156685451,3.0796760755733255,2.8886860682401325,2.984181071906729,0.6164126677300146,2.17
DOLATALGO,2.191723188147856,2.764743279136657,2.985675796425535,0.5520788951792225,0.7576924793463534,0.9208413514842876,2.796668432190358,4.184693515963863,4.780413470911341,0.6856822409181175,0.5204343353964325,0.43865937947913686,2.2114102225938654,3.4328501109238783,2.822130166758872,1.3621842873145615,0.0
GEOJITFSL,1.5612568381950394,1.2610320125645185,2.2378162622222955,0.7558557885510101,1.0629088286190405,0.9140466145341581,1.5137387725598197,1.2926216438955156,2.787348015876638,1.1553525564601153,0.3725471641877293,0.9233717033306316,1.5978712701893545,1.9988041036554565,1.7983376869224055,0.8841892412127802,0.0
HBSL,1.7399926930578888,2.233461973322848,1.7167055964565445,2.0207598511314524,1.5745219763933482,0.932048290351559,,2.1080943769360796,1.8218314334289867,1.4965125384425935,1.862305760417735,2.575601390540731,1.9112731482322776,1.7814883536344872,1.8463807509333825,1.009876152323948,4.74
HEXATRADEX,0.7279541348577331,1.4253546820491128,1.8259181927312444,2.1593931923200467,2.115359778062559,0.9255896107183019,0.7119993423529937,1.225662561086982,1.6728261865282996,2.648130270958924,4.852245014881297,5.333514604934845,1.8458479904714589,1.8759846867692234,1.8609163386203411,0.34692537128101614,0.0
HOMEFIRST,0.8272886902079951,1.1798458481999956,1.5892054403065163,3.3777875456315267,1.2174950094921686,0.9305537022499735,0.8393875929610739,1.12766417073555,1.4864450111133776,3.2707401477605718,1.6199097281265178,1.5799873187210762,2.0439081534827155,1.9499773840319703,1.996942768757343,0.4200737361340672,2.12
HUDCO,3.9826774937762126,2.8929481078816126,1.7544993385229322,0.5518819124542316,0.8908861870926708,0.9242371443817157,4.960203706596166,4.1272032857899035,2.3420681093410787,0.6821273287618758,1.2406301461030294,1.905421544056746,1.621403864574058,2.201112910457083,1.9112583875155704,1.8122943681741444,2.57
IEX,0.9377847460345718,0.8638154134409727,2.5818750408152447,2.109990733463588,1.0869232395245585,0.9302132875670702,0.7299774405763163,0.7562947455746868,2.0991108197412283,2.1575810863456693,1.2699169527469054,1.6380050940765383,2.0966978231348934,1.8480886848892524,1.972393254012073,0.46785500127542445,0.0
IFCI,3.9038650477110997,2.7212421010290053,2.0733323752015314,0.588198036784808,0.5371446141907951,0.9164410853971836,5.376503418656183,3.9687636271172138,2.6959022751435606,0.5887636320346292,0.7521130594077561,0.48456968864426725,1.757374018842009,2.318332952605612,2.0378534857238106,1.8776363067059383,5.87
IIFL,0.5106807816651091,0.5036144896091002,2.6112248719110527,2.0786663111351515,1.2462831601005264,0.928616488346978,0.5423354851030063,0.47279309875639774,2.9978682412823154,2.7381144447594776,0.7181754278500695,0.38532595172263956,2.029935227217892,2.41492707382028,2.2224311505190864,0.20000427999922582,0.0
IIFLSEC,2.758731960824463,1.417210619071724,2.5400301796880225,0.7067000572759536,0.7652826606787732,0.9153060125174471,3.2206466736247514,1.7137586180788125,3.5870392967734372,1.2765997816192731,0.3425570718949536,0.3393906761367353,1.765467230841142,2.5192513064882633,2.142359268664703,1.4359436644123242,4.26
JPOLYINVST,0.7309354100559373,1.8677456041037055,2.2577212424286293,2.288632316175585,2.197013760132991,0.9203895481453842,0.8472201346015027,1.8709069696245186,2.2663824416394047,2.3870172381913055,2.939142209557657,0.5550828304779905,2.1889994368877312,2.2234777862019977,2.2062386115448644,0.559787468497092,0.0
KICL,3.4275182132248903,2.9682810320549784,3.128586104012072,2.6473608283366157,2.3934375494050704,0.9262302271909778,3.3983489395940616,3.564770126971773,4.16049270530416,4.220031733612375,1.2865305377525773,0.2623994788253832,2.952157506918016,4.059209898130147,3.505683702524082,1.397881482820193,6.5
LICHSGFIN,2.2314004328201813,2.232668324277302,1.8075512510163114,1.5853771195416004,2.0974675448044744,0.9650027378835027,1.391929126324436,1.7244326083141555,1.7375594052060643,2.425418336988301,2.6266448858079072,1.5133513041617517,1.8259224262260965,1.9412917253623536,1.8836070757942251,0.8102561309472893,0.0
MAXIND,1.9319907105912517,2.504468670755811,2.792909206509305,2.171741053494429,0.6093504277772611,0.9232265192276436,2.159714558832949,2.5112126555574408,2.4916966682310395,1.3650009940156724,1.5663391303269614,1.9710763060022332,2.548870653454143,2.15759116343171,2.3532309084429266,1.0093677305550155,6.94
