,one_month_return,weight,weighted_return
360ONE,0.10880176350181081,15.34,166.9019052117778
CHOICEIN,0.009190707173857504,13.67,12.563696706663208
CHOLAHLDNG,-0.014827387433548833,2.17,-3.2175430730800967
HBSL,0.630165857234491,4.74,298.69861632914876
HOMEFIRST,-0.06590805644060094,2.12,-13.972507965407399
HUDCO,0.10005388898868328,2.57,25.713849470091603
IFCI,0.36647206005004174,5.87,215.1190992493745
IIFLSEC,0.04314496314496319,4.26,18.379754299754318
KICL,-0.07183072733392493,6.5,-46.6899727670512
MAXIND,0.04664484451718498,6.94,32.371522094926384
MOTILALOFS,0.16026829053040337,4.73,75.8069014208808
POLICYBZR,0.010197556625046289,9.8,9.993605492545363
PRUDENT,0.10739024268699837,1.83,19.652414411720702
TIMESGTY,-0.019755692957321713,9.36,-18.491328608053124
VIJIFIN,-0.37900874635568516,10.09,-382.4198250728863
