,one_month_return,weight,weighted_return
360ONE,0.0027130030359796553,9.12,2.4742587688134456
ANANDRATHI,0.050228424807559735,24.9,125.06877777082373
CHOICEIN,0.07805173196188164,9.41,73.44667977613064
DBSTOCKBRO,-0.2773044151820294,3.37,-93.45158791634391
HUDCO,0.2333333333333334,2.85,66.50000000000001
INDOSTAR,-0.06602812308946404,4.87,-32.15569594456899
MAXIND,-0.018336729023893272,3.15,-5.77606964252638
MCX,-0.11024673510891148,5.87,-64.71483350893104
MOTILALOFS,-0.09129615982968964,1.92,-17.52886268730041
NAM-INDIA,0.025715755186010547,9.71,24.969998285616242
PNB,-0.062296269467584375,4.09,-25.479174212242008
POLICYBZR,0.0017800479839022998,1.32,0.2349663338751036
SMCGLOBAL,-0.00800985828712264,0.2,-0.1601971657424528
SUNDARMFIN,-0.11656106732601856,14.72,-171.57789110389933
VIJIFIN,-0.08333333333333337,4.49,-37.416666666666686
