,one_month_return,weight,weighted_return
360ONE,-0.07676459366653943,8.41,-64.55902327355966
5PAISA,-0.08655886441794103,0.87,-7.53062120436087
ANANDRATHI,0.2644602655378101,30.79,814.2731575909172
ANGELONE,-0.04053859860895559,5.3,-21.48545726274646
HUDCO,0.6403785488958991,2.72,174.18296529968455
IIFLSEC,0.09348345274650272,3.04,28.418969634936825
IRFC,0.674430128840436,3.06,206.3756194251734
KARURVYSYA,0.15660490137477567,1.14,17.852958756724423
MCX,0.15028874447294283,8.45,126.99398907963668
NAM-INDIA,0.0983481851771355,9.74,95.79113236252998
PFC,0.14678198931569564,9.77,143.40600356143463
RECLTD,0.17317908157242345,2.92,50.568291819147646
SHAREINDIA,0.06235375086028894,4.3,26.812112869924242
STARTECK,-0.06314044605183844,2.89,-18.24758890898131
TIMESGTY,-0.164627363737486,6.6,-108.65406006674074
