,one_month_return,weight,weighted_return
ANANDRATHI,0.30522189274765044,45.56,1390.5909433582954
CENTRALBK,0.006818181818181834,1.0,0.6818181818181834
GFLLIMITED,-0.02205513784461155,0.61,-1.3453634085213046
IRFC,0.03216974674880224,7.94,25.54277891854898
J&KBANK,0.03784295175023655,0.23,0.8703878902554408
JPOLYINVST,-0.023442092886537202,1.25,-2.9302616108171504
KARURVYSYA,0.04014720642355307,1.42,5.700903312144536
MCX,0.28840286939313997,8.56,246.87285620052785
NAM-INDIA,0.11395197923426337,2.72,30.994938351719636
PAYTM,-0.05492537313432844,1.42,-7.7994029850746385
PFS,0.03912363067292657,2.87,11.228482003129924
RECLTD,0.23677248677248697,19.91,471.4140211640215
WELINV,0.018649114558846547,6.51,12.140573577809102
