,one_month_return,weight,weighted_return
ANANDRATHI,0.15828464560650657,29.76,471.05510532496356
CARERATING,0.004520017219113326,2.93,1.3243650452002047
CHOICEIN,0.14100793924749744,19.08,269.0431480842251
HDFCAMC,0.04836691777357793,14.3,69.16469241621644
HUDCO,0.11417816813048942,0.82,9.362609786700132
ICICIGI,0.006483509976907831,1.98,1.2837349754277505
IFCI,0.1466208476517754,1.17,17.15463917525772
IRFC,0.08761122518822728,5.63,49.32511978097196
JSWHL,-0.08930560586076575,2.08,-18.575566019039275
MONARCH,0.005039972193256803,4.62,2.328467153284643
MOTILALOFS,0.3651911468812876,1.82,66.46478873239435
MUTHOOTFIN,0.09860822268437053,1.82,17.946696528555435
ONELIFECAP,-0.4082278481012659,0.1,-4.0822784810126596
PNB,0.08958168902920294,1.5,13.437253354380442
POLICYBZR,0.10643945881144035,0.14,1.4901524233601648
SMCGLOBAL,0.25862737495153176,1.03,26.63861962000777
TATAINVEST,-0.04710992315402596,4.98,-23.460741730704928
UNIONBANK,-0.01403394255874657,3.44,-4.82767624020882
VIJIFIN,0.25,2.81,70.25
