,one_month_return,weight,weighted_return
ABSLAMC,-0.025890187550964838,0.66,-1.7087523783636795
CHOICEIN,0.035462555066079426,18.64,66.10220264317205
CHOLAHLDNG,0.15705489549908935,6.14,96.43170583644086
HBSL,-0.062069905293997474,6.26,-38.85576071404242
HEXATRADEX,-0.17858660246424019,14.44,-257.8790539583628
HOMEFIRST,0.1126616139099419,0.09,1.013954525189477
ICICIGI,-0.05513840138623538,8.89,-49.01803883236326
IIFLSEC,0.23628691983122363,3.44,81.28270042194092
MCX,0.08467941591382577,7.69,65.11847083773202
MOTILALOFS,-0.052072471324296155,1.57,-8.175377997914497
POLICYBZR,-0.009250961232690535,8.26,-7.641293978202382
PRUDENT,0.04892692897291773,5.77,28.23083801737353
THEINVEST,0.08420190995907229,8.46,71.23481582537516
WELINV,-0.04820909970958365,9.67,-46.61819941916739
