,one_month_return,weight,weighted_return
360ONE,-0.008662175168431152,5.06,-4.383060635226163
ANANDRATHI,-0.10617240200979594,30.17,-320.32213686355436
BLBLIMITED,-0.4591836734693877,1.93,-88.62244897959182
DBSTOCKBRO,-0.060279870828848336,3.19,-19.229278794402617
DHANBANK,0.06350914962325072,0.85,5.398277717976311
HBSL,-0.019230769230769273,1.02,-1.961538461538466
HDFCAMC,-0.04074938415661877,10.78,-43.92783612083503
HUDCO,0.059049079754601275,3.79,22.379601226993884
INDOSTAR,0.06542271366044683,3.88,25.384012900253367
IRFC,-0.012366884232222652,5.35,-6.616283064239119
MONARCH,-0.02157809983896941,3.91,-8.43703703703704
PAISALO,-0.2561247216035635,4.53,-116.02449888641426
POLICYBZR,0.11320072332730557,1.7,19.244122965641946
SMCGLOBAL,0.023121387283236983,0.49,1.1329479768786122
SUNDARMFIN,0.014975995414049148,14.41,21.58040939164482
TATAINVEST,-0.11276161549048447,5.77,-65.06345213800954
TFCILTD,-0.24752910169119258,2.94,-72.77355589721061
VIJIFIN,-0.04081632653061229,0.24,-0.9795918367346949
