,one_month_return,weight,weighted_return
360ONE,0.028590362586386586,16.3,46.60229101581014
CHOICEIN,0.12294459903870458,22.19,272.81406526688545
CHOLAHLDNG,0.08562233852355083,6.0,51.3734031141305
HBSL,-0.15210792580101185,11.79,-179.33524451939294
HEXATRADEX,0.5121544837014569,0.12,6.145853804417483
HUDCO,-0.10352710646636187,4.4,-45.551926845199226
ICICIGI,0.10202692482226605,1.26,12.855392527605522
IFCI,-0.10888671875,8.85,-96.36474609375
IIFLSEC,0.32301677030337306,4.12,133.0829093649897
KICL,-0.022920203735144362,5.59,-12.812393887945698
MAXIND,-0.20562939796716184,2.11,-43.387802971071146
NAGREEKCAP,-0.01584905660377367,3.84,-6.086037735849089
PRUDENT,0.058118081180811965,2.62,15.226937269372737
TIMESGTY,0.0040000000000000036,10.81,4.324000000000004
