,one_month_return,weight,weighted_return
ANANDRATHI,0.17965730285783854,34.18,614.0686611680921
CHOICEIN,0.007047343693530772,21.38,15.067220816768788
DHANBANK,-0.07317073170731703,0.88,-6.439024390243898
DHUNINV,-0.1487933407176183,2.56,-38.09109522371028
HUDCO,-0.05817307692307694,2.07,-12.041826923076925
IFCI,-0.24129353233830841,1.19,-28.7139303482587
IIFLSEC,-0.0249609984399376,2.8,-6.989079563182527
IRFC,-0.11985794613791068,8.58,-102.83811778632736
MONARCH,0.03158756137479535,1.14,3.6009819967266696
MOTILALOFS,-0.054921460051983284,3.1,-17.02565261611482
PFC,-0.07830523513753329,15.63,-122.39108251996453
TATAINVEST,0.4131383905779624,2.91,120.22327165818707
TFCILTD,0.14244741873804978,1.57,22.36424474187382
THEINVEST,-0.09996806132226133,2.03,-20.293516448419048
