,one_month_return,weight,weighted_return
CHOICEIN,0.10949602122015922,17.68,193.5889655172415
CHOLAHLDNG,-0.15103241968042413,10.68,-161.30262421869298
CREST,-0.0105754573170731,1.68,-1.7766768292682806
DHUNINV,-0.07995690565718871,3.43,-27.425218640415732
HEXATRADEX,-0.0033664068036852735,10.95,-3.686215450035374
IIFLSEC,0.06944818304172284,5.59,38.82153432032307
JSWHL,0.10511354041183041,0.16,1.6818166465892865
MCX,0.12181271284595585,9.57,116.57476619357976
MONARCH,0.1639858768144371,0.22,3.6076892899176163
MOTILALOFS,0.35692948940604374,5.31,189.5295588746092
NAGREEKCAP,-0.14746227709190673,6.96,-102.63374485596708
OSWALGREEN,-0.11279131827077038,1.3,-14.662871375200151
PRUDENT,0.40214274334873346,7.25,291.5534889278318
THEINVEST,0.04587110269947203,11.69,53.623319055682806
TIMESGTY,0.030268418046830226,7.52,22.761850371216326
