,one_month_return,weight,weighted_return
ANANDRATHI,-7.497375918419369e-05,39.68,-0.29749587644288056
CSLFINANCE,0.057337563153565974,0.53,3.0388908471389966
DHUNINV,-0.08269758925846804,2.52,-20.839792493133945
EDELWEISS,0.057756883814640725,1.09,6.29550033579584
KARURVYSYA,0.07722132471728593,2.76,21.313085621970913
MCX,0.02957785220782161,10.47,30.96801126158923
MOTILALOFS,0.08365595017673777,4.06,33.96431577175553
NAM-INDIA,0.0680711292332088,3.47,23.620681843923453
PFC,0.09160613397901529,12.03,110.2021791767554
PNBGILTS,0.015487867836861069,0.12,0.18585441404233283
POLICYBZR,-0.06712687455367783,2.94,-19.735301118781283
RECLTD,0.11800923550538744,10.33,121.90354027706522
STARTECK,0.4850299401197604,2.98,144.5389221556886
SUMMITSEC,-0.09403565299618255,2.44,-22.94469933106854
WELINV,0.04006309148264986,4.58,18.348895899053634
