,score_1y,score_6m,score_3m,score_1m,score_2w,score_1w,alpha_1y,alpha_6m,alpha_3m,alpha_1m,alpha_2w,alpha_1w,final_moment_score,final_alpha_score,final_score
OSWALGREEN,1.809554229704086,1.8831609632175472,2.1226325288523142,1.739257893634615,0.8819203301707541,1.2802760915212796,2.5280827160127965,2.7078314548927116,3.2330638482059064,2.684708880894922,0.9671655290096735,0.6694509991590216,1.9597258251600511,2.963510879349972,2.4616183522550115
HEXATRADEX,1.9770595245405236,2.8325730651099823,3.044046967647433,0.4484410122806873,0.528720108468341,0.578665880458854,2.0285580718757528,3.271521437463296,3.7730850863515357,0.3189940493803032,0.4499970777745861,1.8293050771960948,2.2230704005299193,2.636545045482518,2.4298077230062187
ICRA,1.135610353546815,2.242335109916691,2.6508664221110085,3.335417572137452,1.4763218656496315,1.3026899848075701,1.0996839824287288,1.6459012549787182,1.665728400062898,2.2361199202105446,0.5270758103965446,0.440001745885896,2.7745255046800783,1.8328804270903563,2.3037029658852175
PRUDENT,2.4990549824879666,3.270475562203236,1.968968752787521,1.9416615780706734,2.312694330151028,1.5805246613139845,2.6883978629057514,3.321849688871558,2.0439202869875785,2.1949660580192836,2.9933131675743816,2.5210811656466143,2.2210779622556096,2.344819898673886,2.282948930464748
JSWHL,1.6766617117855123,1.3702343327019042,2.0770270975510616,2.7522507233329345,2.2993814834421626,1.1527721112069815,1.723407822606649,1.1950194329755432,1.7180502629059764,3.485095784591118,3.4007467343994433,0.5276881971676929,2.138235632315792,2.143557753425432,2.140896692870612
CHOICEIN,4.104644350278441,3.5692162505251024,2.4900125305520078,2.150781691517304,1.9195777313786186,1.7056353564917568,2.3877732932613784,2.3261672448412516,1.5731820290309324,1.289711496143716,0.8999112873347281,0.9534045727836286,2.6040840228362154,1.6387379123268313,2.1214109675815234
CREST,1.9588601822539946,1.3123512816406075,1.6074006588207697,2.1770643286788838,1.1951543909703453,1.5126183625959553,2.416009079783887,1.4200060782464314,1.8881430091028069,3.9539305966712415,3.415856298960141,3.7712083746456257,1.7192898843421716,2.4142518992020623,2.066770891772117
SHRIRAMFIN,2.157653406718942,1.9376012806059273,2.247444185201837,2.4772867488178028,1.058055928954122,1.495866406716761,1.4259028219944851,1.4354560136262025,1.8190766328501347,2.2737378266378996,1.3633409711207276,2.240787508231941,2.254428373367445,1.8787508671416777,2.066589620254561
VLSFINANCE,1.974722004309732,2.3207350092791543,2.5068955140831735,1.508899760763297,1.4951475251475543,1.6465673796864082,2.067904057719852,2.385919364452762,2.4523400462604665,0.562936718380792,0.23759870348230916,0.18206173838201006,2.170264687126407,1.8722349115350232,2.021249799330715
MONARCH,2.6142366522752125,1.536959502439919,2.84039877484325,0.6698137520359229,0.5405709670076188,0.4511720012274894,2.435096846010519,1.4532095313991267,3.0738948926090255,0.7305758270615259,0.924512461523199,0.5872685807607632,1.9285354135203856,2.0467621007027956,1.9876487571115906
NAGREEKCAP,1.4571604543148209,2.3062215986886323,1.2302183395057742,3.184150925809171,4.32982766884073,3.9540397593095498,,2.5208269324544585,1.1560820290097613,2.764968071331732,2.1257958885854955,0.9333772065543985,2.0315987672333646,1.911696822395292,1.9716477948143283
BAJAJFINSV,1.0719340975278229,1.6359812972032877,2.903889809069403,2.0134028643282265,2.192560751233243,1.6536098602510636,0.7436057338992762,1.0242360903114731,1.7258166650208064,1.5879958714828535,2.265406543451116,2.540542781301938,2.3831620232738273,1.544154312017554,1.9636581676456908
INDOSTAR,1.3947645395651884,1.3671659376892178,1.386382418417769,2.3320730458345666,1.7825183920796848,1.0413662058755129,1.5301362393334772,1.5041609329780723,1.5277057196173667,3.246907211203623,2.8650301396697104,1.7151443856064263,1.6662463104970981,2.038757209765385,1.8525017601312417
UTIAMC,1.9664016354131868,2.730453492239535,2.0990461960485947,1.4594851398611073,0.31502071619910327,0.1793995873325383,1.5083870439243052,2.0961994117025444,1.6719249185269767,0.7962323920902128,0.5524214465293583,0.7239401471753676,2.0334593384305366,1.494072059231061,1.7637656988307988
ISEC,1.4023985471694087,1.6816833704457983,1.7550532574666964,3.0534676101975586,1.733064393062095,1.1143516377555676,1.0057337253641656,1.1552139077539287,1.2370483864034048,1.7907104039576431,1.71141746413161,1.5492348566298795,2.1299035858817756,1.3867800959397811,1.7583418409107785
FINOPB,0.7176083643677604,1.4576820835010715,2.18585575249495,1.0543062852410585,1.964943503944064,1.5177449638794687,0.8476413885119948,1.6663474134787393,2.189129157982074,1.2801970331423314,1.7158542670467185,0.6324202580733923,1.700756178520007,1.8118931716294842,1.7563246750747457
THEINVEST,2.8634974142052334,2.2864790499028738,1.329819817265422,2.6515635055743036,2.259896591521155,1.3887646374444402,3.021599089442897,2.065298877769833,1.0839986996550866,1.7851662706154068,0.877936234383117,0.3740580213127015,1.917674770285577,1.490609006566132,1.7041418884258546
MOTILALOFS,3.6872375806840463,2.047434921393438,2.1923081535149795,0.6734355370276557,0.587024271453435,0.7932289891933244,3.790421705813232,2.109995199674591,2.0612709358062062,0.5245090480578295,0.5748889512861096,0.42034746625041014,1.7076717221444742,1.6099872222553702,1.6588294721999222
TIMESGTY,1.4792614316123984,1.957153644943731,1.1625798995327112,1.7272842826409671,1.9321257378173713,2.541389375690116,,2.245123911089041,1.1986395701298922,2.4060057485118014,3.3740396865409448,7.772521910961532,1.490905963547392,1.7701462918362947,1.6305261276918435
CAMS,1.8039280121736172,1.9110771212004574,1.670504489912404,1.4066354725332613,1.256489633699756,1.7774850495743912,1.6106795573618484,1.7659847825896091,1.665518513516324,1.2555180038706328,1.4354904766553893,1.9699185636566974,1.6394583109562717,1.5626116144372737,1.6010349626967728
MFSL,0.9972671189358282,1.2910745019494474,1.9932920475950129,2.0107916561381742,2.0199415131756417,1.4185039310485072,0.9048895853826132,1.0465447271199058,1.425933135660829,1.2953419369903498,1.474238818601069,0.9958795322072579,1.8580984210288483,1.3108780943515006,1.5844882576901744
ABSLAMC,1.8839945096344972,2.435731385700114,1.5532247348478294,1.2188430368572407,0.9655760364289219,1.4180842241505245,1.3739805645034973,2.017636769606135,1.2852989346343902,1.4776779145419654,1.512114127331302,1.7093522168511703,1.6294115556211097,1.4894801956010117,1.5594458756110607
CHOLAFIN,0.8134339297286642,1.791521420506277,1.5056827322323234,2.013671706249963,0.958023527657914,0.8406230483023254,0.7241228890510192,1.3763143814838583,1.144418366905244,1.806347884866645,1.098063906048296,1.035305677652729,1.715247162092406,1.3893764252093872,1.5523117936508966
SUNDARMFIN,1.7058573323922261,1.3181094046183084,1.3527362511607197,1.7109753350140975,2.0466765044616597,1.9520001510415508,1.458396994907821,1.2361778777237578,1.2834503761391671,2.312216572813619,1.9417226932905751,2.67867814000257,1.4532826070082507,1.5826257354584208,1.5179541712333358
ICICIPRULI,1.240650726370989,1.6178369391764917,2.2067406461387957,0.9117619249081,1.5286169216094905,1.078419544884906,1.0009249147186594,1.2338868390866597,1.5613320456524529,0.9856494526847767,1.9370071370414204,1.4794096935795327,1.7004662883771262,1.3231382264489913,1.5118022574130587
RELIGARE,0.7483007941887356,1.5158601119703405,1.751950776163544,1.4524222223563443,1.5248652316902114,1.8967596043485726,0.8055451081563555,1.334364144573173,1.5234533836934998,1.19055861941977,0.5607505240733808,0.4518237643036486,1.6148740771827435,1.3857671065873156,1.5003205918850295
